product_id,region_id,material_id,material_name,material_type,base_co2,base_cost,base_sustainability,risk_of_damage_score,co2_multiplier,cost_multiplier,availability_score,grid_co2_kg_per_kwh,recycling_infra_score,waste_mgmt_score,avg_transport_emission_g_per_ton_km,eco_preference_score,price_sensitivity_score,premium_preference_score,region_adjusted_co2,region_adjusted_cost,final_score,co2_impact_index,cost_efficiency_index,material_suitability_score,carbon_cost_ratio,region_pressure_score,material_complexity
67,1,10,Stainless Steel,Metal,2.13,115.99,83.2,1.9,0.858,1.2,6.13346316512829,0.82,5.0,6.0,120.0,8.0,7.0,4.0,1.82754,139.188,78.05252579815395,0.4920170046954653,0.04587941822155754,0.7989986750692095,0.013130011207768416,0.4289795923490213,0.15
77,1,2,Cardboard,Fiber,0.399,24.1,94.6,1.7,0.858,1.2,5.86572650085232,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.342342,28.92,107.03655880102278,0.7073876944581886,0.3963611102077335,0.8439498241360776,0.011837551866810595,0.4289795923490213,0.15
79,4,4,PET Recycled Plastic,Plastic,0.947,98.65,86.7,2.7,0.99,1.3333333333333333,4.10610209518805,0.9,3.0,4.0,135.0,6.0,8.0,3.0,0.93753,131.53333333333333,74.93569418089233,0.6210786298765667,0.05392856749040519,0.7136279242608545,0.00712769893557683,0.2400000006122449,0.15
82,1,1,Recycled Paper,Fiber,0.255,14.81,97.6,2.8,0.858,1.2,6.08685556513289,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.21879,17.772,110.72796167815947,0.7253041469861101,0.6874995171556256,0.8344900524835576,0.012310938554337672,0.4289795923490213,0.15
83,5,8,Compostable Bagasse,Biomass,5.115,55.95,57.4,8.4,0.564,1.525,7.79461428485717,0.41,8.0,8.0,80.0,9.0,6.0,5.0,2.88486,85.32375,55.607397141828606,0.33869351671613673,0.05570937226064459,0.5960805210111919,0.03381075023034254,0.8600000000000001,0.15
86,2,7,Aluminum,Metal,0.611,17.84,93.8,1.6,0.932,1.25,3.96220984166807,0.88,4.0,5.0,130.0,7.0,8.0,3.0,0.569452,22.3,102.71247381000168,0.6744541479869356,0.5189662961059945,0.7850324321285863,0.025535964124415424,0.32224489854643906,0.15
88,5,2,Cardboard,Fiber,0.369,168.22,80.9,9.0,0.564,1.525,7.21122688362196,0.41,8.0,8.0,80.0,9.0,6.0,5.0,0.208116,256.5355,61.157038260346354,0.7268519990183155,0.008856488467046522,0.6642951259293252,0.0008112561419343083,0.8600000000000001,0.15
89,2,3,PLA Bioplastic,Biopolymer,3.738,149.81,72.0,5.5,0.932,1.25,5.20721959316178,0.88,4.0,5.0,130.0,7.0,8.0,3.0,3.483816,187.2625,46.96093951179414,0.25183804905625456,0.017919745795709336,0.6309679212869035,0.018603916961385202,0.32224489854643906,0.15
94,2,1,Recycled Paper,Fiber,0.323,37.66,87.0,8.1,0.932,1.25,4.6184611451816,0.88,4.0,5.0,130.0,7.0,8.0,3.0,0.301036,47.075,85.33859937421792,0.7133775366956135,0.20980506996753082,0.6180162817462618,0.006394816781595437,0.32224489854643906,0.15
95,1,2,Cardboard,Fiber,0.01,7.99,88.4,6.9,0.858,1.2,5.86572650085232,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.0484872,11.224799999999998,97.8036818010228,0.75,0.9999999998688974,0.6967968829740014,0.004319649347487737,0.4289795923490213,0.15
96,4,3,PLA Bioplastic,Biopolymer,0.237,46.66,84.5,6.9,0.99,1.3333333333333333,3.79768783232377,0.9,3.0,4.0,135.0,6.0,8.0,3.0,0.23463,62.21333333333333,79.47114706545518,0.7230071658927869,0.14557990162338835,0.5998361096034304,0.0037713780539470956,0.2400000006122449,0.15
